FECHA;NOMBRE PRODUCTOS;PRECIO;MEDIO DE PAGO;Estado Actual;Numero Factura
14/03/2019;PanDeLaMigueria-MiloDeLaMigueria;8000C1#2000C2;Efectivo;611
14/03/2019;AguaDeCoco-H2O-MrTea;3140C1#3300C2#2500C1;Efectivo;612
14/03/2019;chocolate-leche-huevos;7000C1#3000C1#9000C1;Efectivo;603
14/03/2019;Pancachitos;1000C2;Efectivo;614
19/04/2018;pan-queso-lechuga-leche-maizdulce-cereal-jamon;1500C3#2000C4#2200C2#2000C1#1200C1#3000C1#2700C1;Tarjeta;605
14/03/2019;paquetePapitas-gaseosa-Doritos;2500C1#1500C1#3000C1;bitcoin;626
14/03/2019;Pan-Jamon-Queso-Leche;3000C1#6000C1#4000C1#2500C1;Efectivo;617
14/03/2019;Agua-Carne-Huevos-Harina;1500C1#8700C1#3500C1#4000C1;Efectivo;618
22/03/2019;Chulk;25000C1;Sealand Dollar;629
30/03/2019;Chicharron-CarneMolida-Chorizo;6000C1#8000C1#3000C1;Tarjeta;6210
14/03/2019;PanzerottidelRey-AvenaDelRey;2200C1#1000C1;Efectivo;6111
02/12/2015;arroz-camarones-condones-leche-Hallsnegros-mediasaltas;2500C1#5500C1#9000C1#2000C1#1500C1#5000C1;Efectivo;6112
28/06/2020;StickersXacarana;2000C1;Efectivo;6013
15/06/2017;ArrozLeche-Mazamorra;4000C2#5000C1;Efectivo;6014
20/02/2014;Panela-AguaPanela-PanelaConLimon;200C1#500C1#800C1;Efectivo;6015
